STATE,CONTAMINANT,MEDIAN_PPT
AR,PFPeA,0.0
AR,PFPeS,0.0
AR,PFTA,0.0
AR,PFTrDA,0.0
AR,PFUnA,0.0
AS,11Cl-PF3OUDS,0.0
AS,4:2 FTS,0.0
AS,6:2 FTS,0.0
AS,8:2 FTS,0.0
AS,9Cl-PF3ONS,0.0
AS,ADONA,0.0
AS,HFPO-DA,0.0
AS,NETFOSAA,0.0
AS,NFDHA,0.0
AS,NMEFOSAA,0.0
AS,PFBA,0.0
AS,PFBS,0.0
AS,PFDA,0.0
AS,PFDoA,0.0
AS,PFEESA,0.0
AS,PFHpA,0.0
AS,PFHpS,0.0
AS,PFHxA,0.0
AS,PFHxS,0.0
AS,PFMBA,0.0
AS,PFMPA,0.0
AS,PFNA,0.0
AS,PFOA,0.0
AS,PFOS,0.0
AS,PFPeA,0.0
AS,PFPeS,0.0
AS,PFTA,0.0
AS,PFTrDA,0.0
AS,PFUnA,0.0
AZ,11Cl-PF3OUDS,0.0
AZ,4:2 FTS,0.0
AZ,6:2 FTS,0.0
AZ,8:2 FTS,0.0
AZ,9Cl-PF3ONS,0.0
AZ,ADONA,0.0
AZ,HFPO-DA,0.0
AZ,NETFOSAA,0.0
AZ,NFDHA,0.0
AZ,NMEFOSAA,0.0
AZ,PFBA,0.0
AZ,PFBS,0.0
AZ,PFDA,0.0
AZ,PFDoA,0.0
AZ,PFEESA,0.0
AZ,PFHpA,0.0
AZ,PFHpS,0.0
AZ,PFHxA,0.0
AZ,PFHxS,0.0
AZ,PFMBA,0.0
AZ,PFMPA,0.0
AZ,PFNA,0.0
AZ,PFOA,0.0
AZ,PFOS,0.0
AZ,PFPeA,0.0
AZ,PFPeS,0.0
AZ,PFTA,0.0
AZ,PFTrDA,0.0
AZ,PFUnA,0.0
CA,11Cl-PF3OUDS,0.0
CA,4:2 FTS,0.0
CA,6:2 FTS,0.0
CA,8:2 FTS,0.0
CA,9Cl-PF3ONS,0.0
CA,ADONA,0.0
CA,HFPO-DA,0.0
CA,NETFOSAA,0.0
CA,NFDHA,0.0
CA,NMEFOSAA,0.0
CA,PFBA,0.0
CA,PFBS,0.0
CA,PFDA,0.0
CA,PFDoA,0.0
CA,PFEESA,0.0
CA,PFHpA,0.0
CA,PFHpS,0.0
CA,PFHxA,0.0
CA,PFHxS,0.0
CA,PFMBA,0.0
CA,PFMPA,0.0
CA,PFNA,0.0
CA,PFOA,0.0
CA,PFOS,0.0
CA,PFPeA,0.0
CA,PFPeS,0.0
CA,PFTA,0.0
CA,PFTrDA,0.0
CA,PFUnA,0.0
CO,11Cl-PF3OUDS,0.0
CO,4:2 FTS,0.0
CO,6:2 FTS,0.0
CO,8:2 FTS,0.0
CO,9Cl-PF3ONS,0.0
CO,ADONA,0.0
CO,HFPO-DA,0.0
CO,NETFOSAA,0.0
CO,NFDHA,0.0
CO,NMEFOSAA,0.0
CO,PFBA,0.0
CO,PFBS,0.0
CO,PFDA,0.0
CO,PFDoA,0.0
CO,PFEESA,0.0
CO,PFHpA,0.0
CO,PFHpS,0.0
CO,PFHxA,0.0
CO,PFHxS,0.0
CO,PFMBA,0.0
CO,PFMPA,0.0
CO,PFNA,0.0
CO,PFOA,0.0
CO,PFOS,0.0
CO,PFPeA,0.0
CO,PFPeS,0.0
CO,PFTA,0.0
CO,PFTrDA,0.0
CO,PFUnA,0.0
CT,11Cl-PF3OUDS,0.0
CT,4:2 FTS,0.0
